0.17	1.44E-07	1.29E-07	9.80E-08	6.38E-08	3.06E-08	1.43E-09	-1.96E-08	-3.06E-08	-3.23E-08	-2.55E-08	-1.41E-08	-1.05E-09	1.03E-08
0.16	1.36E-07	1.24E-07	9.75E-08	6.75E-08	3.77E-08	1.01E-08	-1.15E-08	-2.52E-08	-3.08E-08	-2.84E-08	-2.07E-08	-9.50E-09	1.92E-09
0.15	1.28E-07	1.19E-07	9.62E-08	7.03E-08	4.40E-08	1.86E-08	-2.88E-09	-1.83E-08	-2.71E-08	-2.87E-08	-2.49E-08	-1.67E-08	-6.77E-09
0.14	1.20E-07	1.13E-07	9.41E-08	7.21E-08	4.94E-08	2.64E-08	5.88E-09	-1.03E-08	-2.13E-08	-2.64E-08	-2.65E-08	-2.18E-08	-1.45E-08
0.13	1.12E-07	1.07E-07	9.12E-08	7.29E-08	5.36E-08	3.34E-08	1.44E-08	-1.69E-09	-1.40E-08	-2.17E-08	-2.52E-08	-2.41E-08	-2.00E-08
0.12	1.04E-07	1.01E-07	8.76E-08	7.26E-08	5.66E-08	3.93E-08	2.23E-08	7.06E-09	-5.62E-09	-1.50E-08	-2.10E-08	-2.32E-08	-2.24E-08
0.11	9.54E-08	9.36E-08	8.32E-08	7.12E-08	5.84E-08	4.40E-08	2.93E-08	1.54E-08	3.22E-09	-6.92E-09	-1.46E-08	-1.93E-08	-2.15E-08
0.1	8.70E-08	8.63E-08	7.81E-08	6.87E-08	5.88E-08	4.72E-08	3.49E-08	2.29E-08	1.19E-08	1.86E-09	-6.47E-09	-1.28E-08	-1.72E-08
0.09	7.85E-08	7.86E-08	7.24E-08	6.53E-08	5.78E-08	4.88E-08	3.90E-08	2.91E-08	1.97E-08	1.05E-08	2.40E-09	-4.55E-09	-1.02E-08
0.08	7.00E-08	7.07E-08	6.60E-08	6.08E-08	5.55E-08	4.88E-08	4.14E-08	3.36E-08	2.60E-08	1.82E-08	1.10E-08	4.31E-09	-1.58E-09
0.07	6.14E-08	6.25E-08	5.91E-08	5.55E-08	5.19E-08	4.72E-08	4.18E-08	3.61E-08	3.04E-08	2.43E-08	1.85E-08	1.27E-08	7.31E-09
0.06	5.27E-08	5.40E-08	5.17E-08	4.93E-08	4.71E-08	4.40E-08	4.04E-08	3.64E-08	3.26E-08	2.81E-08	2.39E-08	1.93E-08	1.51E-08
0.05	4.40E-08	4.54E-08	4.38E-08	4.23E-08	4.11E-08	3.93E-08	3.71E-08	3.46E-08	3.23E-08	2.93E-08	2.66E-08	2.34E-08	2.05E-08
0.04	3.53E-08	3.65E-08	3.55E-08	3.47E-08	3.42E-08	3.32E-08	3.20E-08	3.06E-08	2.95E-08	2.77E-08	2.63E-08	2.44E-08	2.28E-08
0.03	2.65E-08	2.75E-08	2.69E-08	2.65E-08	2.64E-08	2.60E-08	2.55E-08	2.48E-08	2.44E-08	2.36E-08	2.30E-08	2.20E-08	2.13E-08
0.02	1.77E-08	1.84E-08	1.81E-08	1.79E-08	1.80E-08	1.79E-08	1.77E-08	1.75E-08	1.74E-08	1.71E-08	1.70E-08	1.66E-08	1.65E-08
0.01	8.84E-09	9.22E-09	9.08E-09	9.02E-09	9.10E-09	9.10E-09	9.06E-09	9.02E-09	9.07E-09	8.99E-09	9.03E-09	8.95E-09	8.99E-09
0	0	0	0	0	0	0	0	0	0	0	0	0	0
